bin,n,families,mean_shown,actual_rate
"(-0.001, 0.2]",916,13,0.10868878022273983,0.11135371179039301
"(0.2, 0.4]",355,12,0.26334778462913727,0.2591549295774648
"(0.4, 0.6]",116,11,0.4892624098858742,0.45689655172413796
"(0.6, 0.8]",65,9,0.7007029435108232,0.6153846153846154
"(0.8, 1.0]",42,6,0.9234784958016833,0.9285714285714286
