bin,n,families,mean_shown,actual_rate
"(-0.001, 0.2]",874,13,0.1128035924428876,0.10640732265446225
"(0.2, 0.4]",417,12,0.2793219481861001,0.24940047961630696
"(0.4, 0.6]",120,11,0.4827414942979329,0.5083333333333333
"(0.6, 0.8]",70,9,0.6935273611314582,0.7857142857142857
"(0.8, 1.0]",13,3,0.849259508104808,1.0
