bin,n,families,mean_shown,actual_rate
"(-0.001, 0.2]",910,13,0.09894391643754577,0.1087912087912088
"(0.2, 0.4]",379,12,0.27548575052295,0.25065963060686014
"(0.4, 0.6]",111,12,0.4764168231055851,0.5135135135135135
"(0.6, 0.8]",70,10,0.6874662529260852,0.7285714285714285
"(0.8, 1.0]",24,4,0.8441062818073369,1.0
