feature,importance
cur_dev_s,24.92503224274136
schedule_stops_remaining,10.898925183142525
schedule_target_address,6.7689585655815865
schedule_target_lat,6.53044916024007
schedule_target_lon,6.473200240744634
historical_time_sin,4.5915899016309645
realtime_distance_to_target_m,4.3571253868286055
historical_time_cos,3.390123907561554
tr_id,2.1437423620275906
realtime_speed_std_10m,2.039310384314343
realtime_speed_std_5m,1.8989147519254526
realtime_speed_mean_10m,1.8376334424573548
realtime_speed_std_2m,1.827970808226612
realtime_packet_count_10m,1.7955477571384848
schedule_horizon_s,1.6733889612830497
realtime_speed_count_10m,1.655897193913923
realtime_stopped_fraction_10m,1.5062327098851622
historical_hour,1.4034827368674085
realtime_speed_mean_5m,1.2363988092744702
realtime_speed_mean_2m,1.1855260579911289
realtime_stopped_fraction_2m,1.1316669524245735
realtime_gps_age_s,1.0885173015486418
realtime_stopped_fraction_5m,1.0800087922800323
realtime_speed_age_s,0.9479079458892922
realtime_speed_last,0.8904022497725419
realtime_speed_count_5m,0.8763663137294078
realtime_speed_count_2m,0.8452388986147676
context_speed_count_500m,0.8298200555791155
realtime_packet_count_5m,0.8240644340230306
context_stopped_fraction_500m,0.7990609188656426
realtime_packet_count_2m,0.7787435582833556
context_vehicle_count_500m,0.7081161845398606
realtime_data_age_s,0.6002610771584285
context_speed_median_500m,0.23895427065976488
context_speed_mean_500m,0.22142048285526367
historical_day_of_week,0.0
